"kabupaten_kota","provinsi","jumlah_panjang_jalan_km","luas_wilayah_km2","jumlah_penduduk","rasio_jumlah_penduduk_panjang_jalan","rasio_luas_wilayah_panjang_jalan"
"Simeulue","ACEH",768,2051.48,40635,52.91015625,2.67119791666667
"Aceh Singkil","ACEH",555,2185,69176,124.641441441441,3.93693693693694
"Aceh Selatan","ACEH",1226,3841.6,234360,191.15823817292,3.13344208809135
"Aceh Tenggara","ACEH",1254,4231.43,8456,6.74322169059011,3.37434609250399
"Aceh Timur","ACEH",1764,6286.01,272663,154.570861678005,3.5634977324263
"Aceh Tengah","ACEH",1144,4318.39,52690,46.0576923076923,3.77481643356643
"Aceh Barat","ACEH",885,2927.95,165529,187.038418079096,3.30841807909604
"Aceh Besar","ACEH",1635,2969,330980,202.434250764526,1.81590214067278
"Pidie","ACEH",1283,3086.95,59273,46.1987529228371,2.40604053000779
"Bireuen","ACEH",1318,1901.2,68129,51.6911987860395,1.44248861911988
"Aceh Utara","ACEH",2186,3236.86,51897,23.7406221408966,1.48072278133577
"Aceh Barat Daya","ACEH",844,1490.6,7900,9.36018957345972,1.76611374407583
"Gayo Lues","ACEH",1115,5719.58,5238,4.69775784753363,5.12966816143498
"Aceh Tamiang","ACEH",1054,1956.72,144537,137.131878557875,1.85647058823529
"Nagan Raya","ACEH",1152,3363.72,106920,92.8125,2.91989583333333
"Aceh Jaya","ACEH",711,3812.99,80829,113.683544303797,5.36285513361463
"Bener Meriah","ACEH",1484,1454.09,128888,86.8517520215633,0.979845013477089
"Pidie Jaya","ACEH",582,1073.6,122362,210.243986254296,1.8446735395189
"Kota Banda Aceh","ACEH",764,61.36,207101,271.074607329843,0.0803141361256545
"Kota Sabang","ACEH",202,153,34409,170.341584158416,0.757425742574257
"Kota Langsa","ACEH",661,262.41,154202,233.285930408472,0.396989409984871
"Kota Lhokseumawe","ACEH",456,181.06,157062,344.434210526316,0.397061403508772
"Kota Subulussalam","ACEH",610,1391,23136,37.927868852459,2.28032786885246
"ACEH","ACEH",23650,57956,2526372,106.82334038055,2.45057082452431
"Jembrana","BALI",1178,841.8,314459,266.943123938879,0.714601018675722
"Tabanan","BALI",1066,1013.88,456173,427.929643527205,0.951106941838649
"Badung","BALI",799,418.62,502399,628.784730913642,0.523929912390488
"Gianyar","BALI",665,368,478119,718.975939849624,0.553383458646617
"Klungkung","BALI",501,315,207924,415.017964071856,0.62874251497006
"Bangli","BALI",1052,490.71,244419,232.337452471483,0.466454372623574
"Buleleng","BALI",1399,1364.73,748223,534.8270192995,0.975503931379557
"Kota Denpasar","BALI",579,127.78,591123,1020.9378238342,0.220690846286701
"BALI","BALI",8685,5780.06,4064589,468.00103626943,0.665522164651698
"Pandeglang","BANTEN",343,2746.89,1270131,3703.00583090379,8.00842565597668
"Lebak","BANTEN",323,3426.56,1351275,4183.51393188854,10.6085448916409
"Tangerang","BANTEN",136,1011.86,2980410,21914.7794117647,7.44014705882353
"Serang","BANTEN",286,1734.28,1324625,4631.55594405594,6.06391608391608
"Kota Tangerang","BANTEN",50,153.93,626029481,12520589.62,3.0786
"Kota Cilegon","BANTEN",50,175.5,378417,7568.34,3.51
"Kota Serang","BANTEN",76,266.71,665680,8758.94736842105,3.50934210526316
"Kota Tangerang Selatan","BANTEN",61,147.19,1362784,22340.7213114754,2.41295081967213
"BANTEN","BANTEN",1326,9662.92,635362803,479157.468325792,7.28726998491704
"Bengkulu Selatan","BENGKULU",1735,1186.1,170299,98.1550432276657,0.683631123919308
"Rejang Lebong","BENGKULU",875,1550.27,271138,309.872,1.77173714285714
"Bengkulu Utara","BENGKULU",1273,4324.6,283690,222.851531814611,3.39717203456402
"Kaur","BENGKULU",773,3025.59,70526,91.2367399741268,3.91408796895213
"Seluma","BENGKULU",947,2470.29,170732,180.28722280887,2.60854276663147
