"","kabupaten_kota","bahan_makanan_lainnya","mie_instan","kerupuk","bubur_bayi","lainnya"
"1","Simeulue",1512,1315,170,27,NA
"2","Aceh Singkil",1779,1351,325,67,35
"3","Aceh Selatan",1705,1365,284,53,4
"4","Aceh Tenggara",1649,1398,156,86,9
"5","Aceh Timur",1394,1123,239,30,2
"6","Aceh Tengah",2188,1538,609,25,16
"7","Aceh Barat",2064,1562,469,13,20
"8","Aceh Besar",2306,1523,682,94,8
"9","Pidie",1550,892,586,66,6
"10","Bireuen",1811,1352,414,16,28
"11","Aceh Utara",1310,1021,247,36,6
"12","Aceh Barat Daya",1297,1018,225,44,9
"13","Gayo Lues",2587,1980,551,43,14
"14","Aceh Tamiang",1431,1242,166,22,1
"15","Nagan Raya",2416,1824,502,60,30
"16","Aceh Jaya",1974,1520,404,5,45
"17","Bener Meriah",1805,1329,430,46,NA
"18","Pidie Jaya",1707,1124,572,NA,12
"19","Kota Banda Aceh",3100,1868,978,65,189
"20","Kota Sabang",2775,1963,743,21,48
"21","Kota Langsa",2187,1503,392,244,48
"22","Kota Lhokseumawe",2571,1841,590,104,36
"23","Kota Subulussalam",1540,1316,182,16,26
"24","Nias",1727,1449,19,50,209
"25","Mandailing Natal",1163,920,134,65,44
"26","Tapanuli Selatan",1305,1107,176,12,9
"27","Tapanuli Tengah",983,772,104,86,21
"28","Tapanuli Utara",1308,1074,100,NA,135
"29","Toba Samosir",1642,1267,169,40,165
"30","Labuhan Batu",1522,1296,151,75,NA
"31","Asahan",1295,1055,193,24,22
"32","Simalungun",1484,1180,242,19,42
"33","Dairi",1059,905,58,26,70
"34","Karo",1533,1157,173,198,5
"35","Deli Serdang",1700,1356,275,40,29
"36","Langkat",1474,1255,185,20,14
"37","Nias Selatan",1503,1383,21,15,85
"38","Humbang Hasundutan",1636,1290,115,29,202
"39","Pakpak Bharat",1659,1304,153,51,150
"40","Samosir",1751,1370,197,62,122
"41","Serdang Bedagai",1487,1183,228,67,10
"42","Batu Bara",1206,977,199,7,23
"43","Padang Lawas Utara",1651,1367,185,99,NA
"44","Padang Lawas",1520,1319,170,17,14
"45","Labuhan Batu Selatan",1771,1559,178,34,NA
"46","Labuhan Batu Utara",1549,1298,231,6,14
"47","Nias Utara",1793,1689,10,61,33
"48","Nias Barat",1489,1472,11,6,NA
"49","Kota Sibolga",1132,759,71,233,69
"50","Kota Tanjung Balai",1593,1242,226,85,40
"51","Kota Pematang Siantar",1662,1326,257,9,70
"52","Kota Tebing Tinggi",2014,1644,226,43,101
"53","Kota Medan",2329,1837,345,50,97
"54","Kota Binjai",1706,1338,311,21,36
"55","Kota Padangsidimpuan",1429,1026,295,39,69
"56","Kota Gunungsitoli",1928,1775,72,18,63
"57","Kepulauan Mentawai",2230,1955,135,141,NA
"58","Pesisir Selatan",1555,1198,240,86,30
"59","Solok",1616,925,556,90,44
"60","Sijunjung",2037,1269,603,122,44
"61","Tanah Datar",1968,1328,546,70,24
"62","Padang Pariaman",1824,1412,302,87,22
"63","Agam",2391,1459,803,109,21
"64","Lima Puluh Kota",1743,1113,499,106,25
"65","Pasaman",1567,1128,296,114,30
"66","Solok Selatan",1944,1401,389,127,27
"67","Dharmasraya",2253,1426,657,127,43
"68","Pasaman Barat",1368,977,268,112,10
"69","Kota Padang",2709,1763,588,284,74
"70","Kota Solok",2465,1504,895,63,3
"71","Kota Sawah Lunto",2599,1581,921,84,12
"72","Kota Padang Panjang",2169,1559,525,41,43
"73","Kota Bukittinggi",2875,1668,973,114,120
"74","Kota Payakumbuh",2634,1626,674,299,36
"75","Kota Pariaman",2330,1533,550,128,118
"76","Kuantan Singingi",2442,2029,330,30,53
"77","Indragiri Hulu",2482,2084,305,72,20
"78","Indragiri Hilir",3811,3046,698,52,14
"79","Pelalawan",3120,2528,426,107,58
"80","Siak",2498,1962,366,124,45
"81","Kampar",2613,2026,432,134,21
"82","Rokan Hulu",2208,1610,411,182,5
"83","Bengkalis",2791,2141,485,97,68
"84","Rokan Hilir",1881,1622,196,20,44
"85","Kepulauan Meranti",3099,2705,330,27,38
"86","Kota Pekanbaru",2923,2194,560,102,67
"87","Kota Dumai",2998,2505,400,63,30
"88","Kerinci",1940,1292,544,83,21
"89","Merangin",1878,1490,298,90,NA
"90","Sarolangun",2374,1936,386,47,5
"91","Batang Hari",2538,2040,422,53,23
