"","kabupaten_kota","bahan_minuman","gula_pasir","gula_merah_gula_air_pohom_aren_kelapa_lontar","teh_bubuk","teh_celup_sachet","kopi_bubuk_biji","kopi_instan_sachet","bahan_minuman_lainnya"
"1","Simeulue",3715,2399,22,61,218,696,316,2
"2","Aceh Singkil",4180,2295,91,86,392,1076,220,19
"3","Aceh Selatan",4544,2161,11,3,210,1992,130,36
"4","Aceh Tenggara",3106,1770,158,46,448,411,273,0
"5","Aceh Timur",4239,2689,32,94,487,384,534,19
"6","Aceh Tengah",6053,2684,38,21,340,2561,307,101
"7","Aceh Barat",3931,2235,25,4,133,1208,278,47
"8","Aceh Besar",3715,2360,13,8,273,683,302,76
"9","Pidie",4175,2691,6,31,342,768,274,63
"10","Bireuen",3546,2326,46,16,285,211,396,267
"11","Aceh Utara",3354,2292,20,73,366,224,374,6
"12","Aceh Barat Daya",3624,1961,10,11,81,1479,68,16
"13","Gayo Lues",7257,2853,603,36,350,3315,71,30
"14","Aceh Tamiang",4489,2959,64,108,388,176,786,8
"15","Nagan Raya",5306,2606,33,99,233,2114,200,21
"16","Aceh Jaya",4553,2812,21,15,227,1286,138,55
"17","Bener Meriah",5536,2523,86,63,433,2254,149,29
"18","Pidie Jaya",3669,2502,32,57,369,354,299,56
"19","Kota Banda Aceh",2882,1285,42,7,297,378,711,162
"20","Kota Sabang",3215,1565,6,10,351,292,811,181
"21","Kota Langsa",4027,2000,98,2,450,274,1034,169
"22","Kota Lhokseumawe",3862,2140,55,7,475,296,870,19
"23","Kota Subulussalam",4097,2294,45,45,416,1039,259,NA
"24","Nias",3450,1532,20,22,505,962,389,20
"25","Mandailing Natal",2016,1082,114,152,247,194,217,10
"26","Tapanuli Selatan",3132,1768,143,79,385,584,174,NA
"27","Tapanuli Tengah",3224,1982,123,108,437,385,173,16
"28","Tapanuli Utara",5599,3494,58,81,623,1181,105,56
"29","Toba Samosir",4935,2782,188,25,709,999,202,31
"30","Labuhan Batu",3937,2708,119,72,671,87,277,2
"31","Asahan",4193,2758,289,50,638,108,288,62
"32","Simalungun",4380,2674,188,141,583,443,270,82
"33","Dairi",5371,3006,22,15,452,1794,40,42
"34","Karo",3934,2146,286,41,614,145,526,177
"35","Deli Serdang",3709,2303,145,39,612,343,260,8
"36","Langkat",4401,2665,202,63,576,512,360,23
"37","Nias Selatan",4217,1862,12,40,598,862,811,32
"38","Humbang Hasundutan",5855,3298,196,30,752,1378,195,5
"39","Pakpak Bharat",5163,2832,124,33,449,1518,176,31
"40","Samosir",5871,3248,89,50,533,1757,160,34
"41","Serdang Bedagai",4097,2686,189,117,608,222,261,13
"42","Batu Bara",4227,2791,147,24,531,168,556,10
"43","Padang Lawas Utara",2826,1660,71,98,474,342,161,21
"44","Padang Lawas",2463,1260,96,37,351,424,287,8
"45","Labuhan Batu Selatan",3911,2691,118,38,711,98,252,2
"46","Labuhan Batu Utara",3965,2698,229,66,549,112,279,32
"47","Nias Utara",3054,1511,28,11,564,233,707,NA
"48","Nias Barat",2953,1440,3,67,496,567,381,NA
"49","Kota Sibolga",2168,1135,52,27,353,212,371,18
"50","Kota Tanjung Balai",4176,2770,129,19,493,184,471,110
"51","Kota Pematang Siantar",3532,1951,211,69,508,548,211,35
"52","Kota Tebing Tinggi",3711,2296,190,28,499,268,324,105
"53","Kota Medan",3677,1891,158,35,517,402,598,75
"54","Kota Binjai",3734,2206,184,48,548,456,255,38
"55","Kota Padangsidimpuan",2289,1106,143,56,331,250,350,53
"56","Kota Gunungsitoli",3695,1679,27,1,617,668,673,28
"57","Kepulauan Mentawai",6061,3417,74,117,1107,1037,309,NA
"58","Pesisir Selatan",3514,2082,14,88,380,788,158,5
"59","Solok",4899,2679,64,64,484,1387,142,80
"60","Sijunjung",3860,1815,36,33,412,1133,351,80
"61","Tanah Datar",4232,1973,61,86,609,1056,418,30
"62","Padang Pariaman",3343,1777,63,203,449,428,353,70
"63","Agam",4097,2131,43,158,596,902,233,34
"64","Lima Puluh Kota",3396,1700,108,69,478,648,349,44
"65","Pasaman",3892,2179,93,25,485,979,122,9
"66","Solok Selatan",4416,2393,45,44,620,1025,257,32
"67","Dharmasraya",4261,1912,74,164,417,1084,569,41
"68","Pasaman Barat",2895,1726,106,60,424,444,130,5
"69","Kota Padang",3377,1501,44,56,546,670,446,115
"70","Kota Solok",3405,1486,31,42,439,829,523,56
"71","Kota Sawah Lunto",3965,1534,166,27,532,987,514,205
"72","Kota Padang Panjang",3279,1400,57,37,602,749,411,23
"73","Kota Bukittinggi",3695,1274,106,56,533,781,655,289
"74","Kota Payakumbuh",3062,1219,78,80,441,541,652,51
"75","Kota Pariaman",2865,1379,87,95,519,228,465,91
"76","Kuantan Singingi",4825,2649,117,349,528,638,510,34
"77","Indragiri Hulu",4276,2468,101,175,712,318,456,45
"78","Indragiri Hilir",5716,3354,84,55,999,330,768,126
"79","Pelalawan",4954,2560,124,134,750,453,805,128
"80","Siak",5013,2309,143,82,613,1111,636,119
"81","Kampar",4493,2327,94,105,656,646,655,10
"82","Rokan Hulu",4579,2496,119,46,668,490,703,57
"83","Bengkalis",4896,2581,61,74,693,899,469,120
"84","Rokan Hilir",4728,2902,139,73,853,317,396,48
"85","Kepulauan Meranti",5282,3242,68,34,516,953,426,43
"86","Kota Pekanbaru",3573,1497,77,25,571,508,806,90
"87","Kota Dumai",4785,2297,129,24,573,1080,574,108
"88","Kerinci",4025,1991,15,199,496,933,308,83
"89","Merangin",3582,1908,59,103,354,715,427,16
"90","Sarolangun",3884,2109,63,153,402,803,354,NA
"91","Batang Hari",4498,2588,51,168,372,1006,301,12
"92","Muaro Jambi",5297,2715,131,82,641,1230,472,25
"93","Tanjung Jabung Timur",5783,3116,144,54,894,1050,519,6
"94","Tanjung Jabung Barat",4980,2631,91,43,670,910,557,78
"95","Tebo",4319,2270,59,231,419,928,398,13
"96","Bungo",4076,2099,48,157,436,656,650,30
"97","Kota Jambi",4204,1524,232,50,466,921,821,190
"98","Kota Sungai Penuh",3769,1758,47,65,518,938,388,56
"99","Ogan Komering Ulu",4496,2115,171,62,319,1264,499,66
"100","Ogan Komering Ilir",5790,3032,338,151,440,1274,532,22
"101","Muara Enim",4708,2538,196,58,371,1293,228,25
"102","Lahat",4982,2385,117,76,373,1865,136,30
"103","Musi Rawas",4924,2578,261,204,246,1399,223,14
"104","Musi Banyuasin",5339,2672,284,126,534,1235,441,47
"105","Banyu Asin",5610,2906,189,83,632,1371,388,41
"106","Ogan Komering Ulu Selatan",5452,2680,166,153,160,2233,59,1
"107","Ogan Komering Ulu Timur",4437,2112,344,250,219,1280,225,8
"108","Ogan Ilir",5249,3303,284,34,204,1193,203,27
"109","Empat Lawang",4941,2562,131,30,187,1888,121,21
"110","Penukal Abab Lematang Ilir",3914,2386,65,176,279,792,211,5
"111","Musi Rawas Utara",4724,2886,72,35,353,911,449,19
"112","Kota Palembang",3864,1761,229,15,374,968,404,114
"113","Kota Prabumulih",3739,1991,91,22,277,978,318,63
"114","Kota Pagar Alam",4754,2236,121,114,377,1734,125,46
"115","Kota Lubuklinggau",3762,1589,270,27,311,1258,210,97
"116","Bengkulu Selatan",4038,1770,165,1,144,1838,120,NA
"117","Rejang Lebong",4293,1832,150,45,285,1829,106,46
"118","Bengkulu Utara",4654,2107,193,105,246,1609,220,174
"119","Kaur",4932,1794,470,33,203,2298,125,9
"120","Seluma",4068,2007,129,38,145,1554,176,19
"121","Mukomuko",4121,2021,65,63,480,1177,286,30
"122","Lebong",4918,2002,343,76,307,1996,128,66
"123","Kepahiang",4026,1777,231,19,177,1683,129,11
"124","Bengkulu Tengah",4021,2044,64,27,177,1642,46,21
"125","Kota Bengkulu",3718,1484,191,16,258,1147,416,207
"126","Lampung Barat",6165,2333,397,202,212,2888,111,23
"127","Tanggamus",4140,1768,302,297,117,1496,155,5
