"","kabupaten_kota","buah_buahan","jeruk_jeruk_bali","mangga","apel","rambutan","duku_langsat","durian","salak","pisang_ambon","pisang_lainnya","pepaya","semangka","tomat_buah","buah_buahan_lainnya"
"1","Simeulue",3039,809,164,96,134,71,NA,246,46,742,226,125,171,209
"2","Aceh Singkil",5344,1627,179,529,14,61,NA,982,95,368,317,568,16,587
"3","Aceh Selatan",4481,1289,46,295,5,45,3,729,68,264,209,272,1084,172
"4","Aceh Tenggara",3960,1225,108,285,NA,10,9,652,77,331,167,240,680,177
"5","Aceh Timur",3598,1651,63,195,11,187,NA,564,20,171,132,490,8,107
"6","Aceh Tengah",8549,2053,495,622,250,37,1110,754,203,521,413,450,660,980
"7","Aceh Barat",9377,2530,213,1123,NA,244,NA,1361,113,501,356,463,1311,1163
"8","Aceh Besar",5527,2064,278,476,22,5,93,813,217,592,278,326,8,355
"9","Pidie",4886,2105,271,413,184,127,86,830,103,287,205,84,NA,191
"10","Bireuen",8455,2428,277,823,360,117,539,1112,72,503,293,209,914,808
"11","Aceh Utara",3293,1414,313,232,17,16,51,497,8,73,66,268,254,85
"12","Aceh Barat Daya",4168,1218,39,234,NA,38,NA,688,47,296,140,203,1060,205
"13","Gayo Lues",9139,2584,399,1217,379,283,NA,1643,148,988,394,330,195,579
"14","Aceh Tamiang",4585,1639,81,351,NA,44,52,513,21,328,124,334,488,611
"15","Nagan Raya",7409,2181,284,579,145,407,NA,1235,62,409,392,550,920,246
"16","Aceh Jaya",8049,2022,268,681,60,88,NA,1472,172,566,454,512,1074,678
"17","Bener Meriah",8506,1589,444,630,264,90,2357,873,115,330,172,322,985,336
"18","Pidie Jaya",6102,2377,236,760,295,263,79,1065,60,372,300,94,NA,200
"19","Kota Banda Aceh",10713,2612,971,960,NA,NA,174,655,79,1272,720,610,505,2154
"20","Kota Sabang",7602,2120,704,545,69,32,NA,596,86,1398,756,452,6,837
"21","Kota Langsa",7846,1956,207,676,32,97,10,631,41,815,351,605,942,1483
"22","Kota Lhokseumawe",7215,1927,512,919,16,35,43,852,25,603,334,403,880,665
"23","Kota Subulussalam",5094,1464,296,562,NA,85,NA,786,64,246,118,297,950,226
"24","Nias",2203,258,NA,110,NA,3,NA,39,181,1311,193,80,3,26
"25","Mandailing Natal",3499,888,117,397,53,21,141,749,95,348,281,149,0,261
"26","Tapanuli Selatan",4212,1129,58,365,23,3,418,714,145,564,409,175,29,182
"27","Tapanuli Tengah",4791,1099,7,272,NA,4,NA,527,171,791,326,108,1093,394
"28","Tapanuli Utara",7365,1787,41,750,24,13,231,603,187,1254,339,45,1463,629
"29","Toba Samosir",9918,2682,116,790,31,56,643,751,284,1448,481,114,1619,904
"30","Labuhan Batu",4073,1321,95,210,NA,17,43,628,43,402,160,310,585,259
"31","Asahan",6013,2051,135,316,6,21,117,433,80,686,270,276,867,755
"32","Simalungun",5972,1857,100,385,NA,14,217,264,42,746,401,288,859,796
"33","Dairi",4528,1078,28,350,7,NA,NA,366,310,1238,318,94,304,435
"34","Karo",7090,1310,209,1524,27,116,77,733,216,911,324,392,164,1086
"35","Deli Serdang",6236,1918,189,500,11,6,82,357,35,1132,611,421,56,919
"36","Langkat",4411,1439,79,352,14,84,2,413,41,567,332,328,8,751
"37","Nias Selatan",1602,133,NA,207,3,18,NA,70,163,702,187,68,34,17
"38","Humbang Hasundutan",7741,1968,15,521,7,5,32,625,293,1463,320,131,1626,735
"39","Pakpak Bharat",5157,552,29,422,NA,12,51,617,151,1015,393,62,1228,627
"40","Samosir",6851,1877,102,367,11,25,461,409,304,1735,529,46,172,812
"41","Serdang Bedagai",5939,1959,129,458,7,NA,NA,436,11,766,195,415,823,741
"42","Batu Bara",4872,1432,176,441,1,9,79,405,19,564,144,158,971,473
"43","Padang Lawas Utara",4540,1181,49,243,11,60,331,1048,63,511,141,91,572,238
"44","Padang Lawas",4616,1172,107,508,6,93,155,1032,87,556,131,161,208,401
"45","Labuhan Batu Selatan",5327,1660,84,403,30,46,213,793,60,384,176,294,781,404
"46","Labuhan Batu Utara",5604,1562,187,365,NA,6,206,818,75,495,206,322,894,467
"47","Nias Utara",1526,193,NA,83,20,54,NA,35,248,639,151,46,34,23
"48","Nias Barat",1863,201,63,141,2,30,NA,26,67,1134,122,65,4,9
"49","Kota Sibolga",6283,1118,74,367,3,22,NA,320,223,946,763,283,1379,783
"50","Kota Tanjung Balai",6351,1302,416,452,19,57,44,509,58,813,651,316,1200,515
"51","Kota Pematang Siantar",8995,1858,149,825,33,15,329,308,331,1461,1017,404,1002,1263
"52","Kota Tebing Tinggi",6962,1760,241,572,NA,NA,229,379,30,1466,672,316,23,1275
"53","Kota Medan",8297,2100,389,1229,5,45,298,190,83,1552,871,415,85,1036
"54","Kota Binjai",6529,1785,88,784,NA,42,22,297,54,1219,708,400,52,1076
"55","Kota Padangsidimpuan",7122,1377,196,517,31,15,554,614,71,936,703,172,849,1087
"56","Kota Gunungsitoli",3877,578,NA,387,6,22,6,115,430,1371,406,202,17,338
"57","Kepulauan Mentawai",5222,1180,285,504,9,NA,NA,100,241,2161,375,195,65,105
"58","Pesisir Selatan",4070,1336,200,232,20,14,50,278,236,503,434,189,303,272
"59","Solok",4703,1611,63,286,14,53,9,707,100,696,403,100,446,218
"60","Sijunjung",5136,1572,139,260,34,148,245,708,287,672,438,375,21,236
"61","Tanah Datar",5920,2174,156,367,44,53,201,556,490,603,496,293,80,406
"62","Padang Pariaman",5354,1802,129,363,28,176,368,387,239,606,390,187,301,379
"63","Agam",5275,1806,159,230,11,19,173,581,389,637,562,199,61,449
"64","Lima Puluh Kota",5343,1711,58,231,25,49,123,676,357,890,641,195,29,355
"65","Pasaman",3392,1125,51,161,9,21,NA,743,101,400,395,164,73,150
"66","Solok Selatan",6312,1711,215,306,228,27,809,958,389,380,340,371,282,295
"67","Dharmasraya",5695,1853,64,460,5,69,NA,697,468,674,660,283,8,454
"68","Pasaman Barat",3929,817,83,365,38,17,72,888,187,372,520,217,66,287
"69","Kota Padang",7260,2279,218,485,16,11,89,300,447,1099,971,294,57,994
"70","Kota Solok",7608,2327,270,341,31,557,66,416,799,832,898,251,60,759
"71","Kota Sawah Lunto",6668,2266,243,501,2,37,59,658,1078,304,619,342,88,471
"72","Kota Padang Panjang",7215,2338,320,1018,9,15,15,567,437,556,570,257,168,944
"73","Kota Bukittinggi",9363,3386,263,947,3,144,59,734,443,1149,677,446,13,1099
"74","Kota Payakumbuh",7768,2457,149,504,8,86,45,524,1196,504,968,369,94,863
"75","Kota Pariaman",7328,2303,143,600,14,268,196,783,532,832,759,311,89,498
"76","Kuantan Singingi",6456,1974,298,323,31,133,20,839,148,543,462,223,36,1427
"77","Indragiri Hulu",6107,1665,342,467,7,79,102,755,130,888,349,462,55,806
"78","Indragiri Hilir",5592,1651,282,350,44,159,12,651,28,1062,224,554,74,500
"79","Pelalawan",6831,2264,430,538,33,103,99,854,126,691,342,516,299,536
"80","Siak",6910,2491,225,493,14,24,8,622,106,934,492,467,120,914
"81","Kampar",5598,1964,205,421,14,82,37,792,178,635,434,348,52,435
"82","Rokan Hulu",5843,1660,241,824,42,117,51,973,119,529,235,459,24,570
"83","Bengkalis",5311,2020,298,318,21,NA,12,458,141,837,449,362,84,310
"84","Rokan Hilir",5126,1789,158,518,39,45,56,1030,96,430,131,355,250,228
"85","Kepulauan Meranti",4401,1545,337,306,19,22,NA,368,29,980,186,302,5,302
"86","Kota Pekanbaru",8996,2463,684,1047,NA,50,27,426,141,1352,1059,326,153,1267
"87","Kota Dumai",7384,2081,440,527,2,164,36,426,97,1213,556,365,592,886
"88","Kerinci",6235,1695,73,668,147,224,84,893,165,703,485,249,312,537
"89","Merangin",4182,1410,126,186,88,79,70,478,178,496,202,322,48,501
"90","Sarolangun",4298,1268,136,458,80,95,NA,357,223,617,207,498,101,260
"91","Batang Hari",4568,1831,78,316,10,NA,NA,472,169,524,198,445,157,368
"92","Muaro Jambi",6629,2216,267,583,29,130,36,512,349,882,603,633,166,224
"93","Tanjung Jabung Timur",6950,2976,477,729,58,142,90,490,188,735,240,381,24,419
"94","Tanjung Jabung Barat",6535,2147,211,460,241,321,14,532,46,878,394,528,302,462
"95","Tebo",4938,1438,65,329,29,18,NA,557,216,1045,366,392,44,440
"96","Bungo",5375,1725,38,575,28,22,NA,663,273,658,290,431,189,482
