"","kabupaten_kota","ikan","ekor_kuning","tongkol_tuna_cakalang_dencis_ikan_kayu","tenggiri","selar","kembung_lema_tatare_banyar_banyara","teri","bandeng","gabus","mujair","mas_nila","lele","kakap","baronang","patin","bawal","gurame","ikan_segar_basah_lainnya","udang_lobster","cumi_cumi_sotong_gurita","ketam_kepiting_rajungan","kerang_siput_bekicot_remis","udang_dan_hewan_air_lainnya_yang_segar_lainnya","kembung_diawetkan_peda","tenggiri_diawetkan","tongkol_tuna_cakalang_diawetkan","teri_diawetkan","selar_diawetkan","sepat_diawetkan","bandeng_diawetkan","gabus_diawetkan","ikan_dalam_kaleng_sardencis_tuna_dalam_kaleng_dsb","ikan_diawetkan_lainnya","udang_diawetkan_ebi_rebon","cumi_cumi_sotong_gurita_diawetkan","udang_dan_hewan_air_lainnya_yang_diawetkan"
"1","Simeulue",12745,934,4522,241,844,1146,333,65,70,31,13,97,775,68,NA,10,13,1640,499,617,111,101,37,9,NA,134,210,NA,NA,NA,NA,45,124,38,20,1
"2","Aceh Singkil",17562,579,5991,101,68,1063,230,61,1296,260,2960,770,168,20,68,NA,69,1032,608,250,47,59,33,89,13,210,502,11,5,11,102,38,748,68,5,24
"3","Aceh Selatan",16598,501,5760,139,1796,1807,1056,97,209,87,343,174,732,16,18,34,15,1653,431,188,4,38,75,32,1,82,719,140,8,10,4,12,225,170,NA,22
"4","Aceh Tenggara",17814,86,2539,3,36,547,619,59,275,2640,4250,563,NA,NA,21,40,37,196,397,166,38,56,84,752,41,215,2229,232,25,NA,70,117,770,305,233,170
"5","Aceh Timur",17687,871,5011,131,359,1822,424,2619,167,534,41,58,242,38,17,88,8,983,1779,554,158,6,337,131,47,188,632,47,26,22,2,54,204,69,NA,19
"6","Aceh Tengah",17327,6,2461,29,43,1263,303,3458,107,3233,1211,259,27,NA,26,423,NA,533,1774,392,57,27,33,120,NA,57,359,137,20,9,13,221,617,54,7,46
"7","Aceh Barat",27910,147,8124,319,423,4438,414,617,1148,203,786,1452,1131,NA,11,438,153,1912,2786,325,69,386,601,352,23,222,577,18,2,11,164,70,154,328,27,77
"8","Aceh Besar",22984,513,8093,120,41,1962,1323,812,354,501,208,247,272,49,NA,5,18,487,3878,1219,233,61,181,189,71,500,1271,70,NA,NA,1,15,94,151,41,2
"9","Pidie",21965,412,6316,172,434,3051,1393,1925,90,1032,191,72,84,76,NA,83,43,1123,3529,375,132,58,336,223,6,118,411,33,4,4,NA,4,94,143,NA,NA
"10","Bireuen",24434,529,7154,191,542,1835,918,3412,161,1432,116,33,211,12,77,35,75,1410,3846,759,77,64,110,189,13,320,408,62,4,53,11,2,301,38,5,30
"11","Aceh Utara",15908,677,3948,149,453,1469,682,2551,234,1353,26,93,138,9,36,68,53,404,1498,623,62,29,NA,185,78,138,544,123,13,68,5,11,99,80,NA,10
"12","Aceh Barat Daya",16990,296,4841,332,1194,2034,1560,61,685,255,606,808,172,1,15,16,1,1288,661,281,45,43,47,54,21,121,960,130,25,2,7,NA,123,301,NA,4
"13","Gayo Lues",23757,231,2159,NA,5,397,257,420,12,3936,5503,719,55,NA,259,7,21,569,1415,145,NA,17,13,1011,99,199,4066,54,NA,23,14,306,1182,337,44,281
"14","Aceh Tamiang",13426,163,3544,20,114,1006,56,1350,419,506,251,290,235,NA,18,77,54,2427,1413,396,82,42,12,31,45,25,426,13,1,NA,4,54,303,24,9,15
"15","Nagan Raya",21594,341,5136,24,94,1796,693,561,1800,236,2075,2033,306,10,87,148,39,1098,1632,143,181,486,136,333,15,293,791,24,4,6,198,148,257,450,5,15
"16","Aceh Jaya",23960,410,8212,142,317,1736,427,1009,906,368,490,536,186,11,NA,59,48,2131,3492,387,489,286,38,149,20,430,802,43,3,2,16,272,207,269,17,51
"17","Bener Meriah",15597,74,3124,19,4,1438,132,4159,189,3094,299,103,NA,NA,64,297,14,242,854,52,48,NA,15,49,2,100,273,1,4,3,NA,184,632,39,NA,90
"18","Pidie Jaya",22260,398,5591,464,351,1785,1748,2524,175,1812,206,126,78,5,41,82,98,294,3508,345,291,191,778,312,64,184,581,53,34,35,7,5,49,20,NA,24
"19","Kota Banda Aceh",26658,367,8587,202,65,2205,713,576,83,623,89,155,888,15,7,81,45,1707,5445,2504,111,161,799,48,29,68,849,2,2,NA,4,11,77,102,36,NA
"20","Kota Sabang",22244,820,7244,150,168,1672,1259,85,80,1088,224,89,503,21,NA,24,NA,3956,2116,1187,12,5,NA,156,16,292,780,NA,15,3,NA,39,165,46,27,NA
"21","Kota Langsa",19441,177,4942,NA,531,1982,133,982,67,558,44,344,694,41,38,218,33,2456,3724,977,250,27,28,79,NA,67,539,7,NA,NA,20,63,360,37,15,5
"22","Kota Lhokseumawe",23149,360,6553,189,541,2346,856,2215,82,811,106,155,674,78,18,316,34,688,4200,1345,108,194,235,96,12,217,421,30,NA,23,5,NA,136,45,32,28
"23","Kota Subulussalam",13766,47,5801,50,16,383,73,14,693,313,2250,575,NA,NA,66,15,53,456,503,355,29,1,NA,98,43,376,920,79,14,4,27,28,353,76,6,48
"24","Nias",9771,43,4467,252,232,62,95,NA,19,10,90,451,60,NA,NA,25,13,182,33,49,8,NA,NA,166,175,561,999,101,13,NA,7,28,1408,19,NA,206
"25","Mandailing Natal",12306,88,3684,121,17,935,102,13,488,507,2171,366,16,NA,NA,21,NA,355,313,139,2,NA,21,123,134,377,1182,91,40,51,91,124,525,161,NA,47
"26","Tapanuli Selatan",14644,96,3953,84,52,730,81,NA,192,799,3152,550,20,NA,NA,10,NA,397,118,200,21,NA,NA,165,19,390,1556,14,9,13,51,165,1227,320,2,257
"27","Tapanuli Tengah",18336,546,4611,31,252,4844,355,15,241,133,536,309,38,37,NA,29,NA,2596,640,375,89,39,31,77,13,178,819,52,13,52,15,23,1246,57,2,44
"28","Tapanuli Utara",20049,195,4190,80,27,151,233,31,92,4149,1566,635,83,NA,NA,24,13,249,107,93,NA,NA,11,611,19,300,3406,166,70,29,263,4,2985,138,7,124
"29","Toba Samosir",24759,23,3731,6,NA,383,554,NA,367,7388,1948,1091,238,NA,34,93,115,301,286,134,8,30,8,479,11,179,4288,52,24,26,NA,15,2557,195,7,188
"30","Labuhan Batu",16463,77,2107,NA,230,3812,322,23,1177,782,1082,1371,92,1,315,70,33,1014,588,111,46,409,135,216,4,60,1482,85,47,NA,11,40,299,354,3,68
