"","kabupaten_kota","kacang_kacangan","kacang_tanah_tanpa_kulit","kacang_kedele","kacang_lainnya","tahu","tempe","oncom","hasil_lain_dari_kacang_kacangan"
"1","Simeulue",475,45,NA,34,80,317,NA,NA
"2","Aceh Singkil",2034,103,2,38,948,928,1,13
"3","Aceh Selatan",1324,235,NA,45,302,730,NA,11
"4","Aceh Tenggara",1812,87,2,22,847,822,17,15
"5","Aceh Timur",1330,35,NA,40,460,765,13,16
"6","Aceh Tengah",2954,88,21,87,1432,1324,NA,NA
"7","Aceh Barat",2188,280,29,86,606,1175,5,7
"8","Aceh Besar",1776,104,14,39,632,986,1,NA
"9","Pidie",1470,242,2,123,345,749,9,0
"10","Bireuen",2008,155,20,224,580,1006,6,18
"11","Aceh Utara",1228,65,16,68,377,673,15,15
"12","Aceh Barat Daya",1094,112,3,6,323,649,3,NA
"13","Gayo Lues",2003,213,13,80,653,1026,14,5
"14","Aceh Tamiang",1955,32,7,21,825,1061,9,0
"15","Nagan Raya",2614,280,29,104,849,1331,18,4
"16","Aceh Jaya",1694,239,NA,84,405,963,1,3
"17","Bener Meriah",2497,78,7,8,1223,1168,12,NA
"18","Pidie Jaya",1838,227,NA,81,542,969,16,5
"19","Kota Banda Aceh",2193,163,4,64,720,1225,4,13
"20","Kota Sabang",2113,50,5,64,769,1215,9,1
"21","Kota Langsa",1938,54,4,69,615,1151,2,42
"22","Kota Lhokseumawe",1640,133,10,25,615,848,NA,10
"23","Kota Subulussalam",2061,82,1,3,980,982,11,2
"24","Nias",727,44,NA,11,545,123,4,NA
"25","Mandailing Natal",1824,98,NA,22,835,857,6,5
"26","Tapanuli Selatan",2182,152,1,28,1032,941,7,20
"27","Tapanuli Tengah",1280,20,13,158,639,445,NA,6
"28","Tapanuli Utara",2246,67,4,66,1410,689,5,6
"29","Toba Samosir",2363,58,6,108,1458,727,2,4
"30","Labuhan Batu",1683,66,1,78,774,760,4,NA
"31","Asahan",2157,115,3,53,943,1038,3,2
"32","Simalungun",2340,157,4,71,1021,1078,3,6
"33","Dairi",2287,73,5,13,1425,762,6,3
"34","Karo",2330,78,18,31,1385,804,8,5
"35","Deli Serdang",2224,165,7,29,988,1029,4,2
"36","Langkat",2275,152,19,136,888,1078,1,1
"37","Nias Selatan",665,7,1,7,537,112,NA,NA
"38","Humbang Hasundutan",1906,44,NA,36,1318,508,NA,NA
"39","Pakpak Bharat",2154,54,NA,15,1313,766,3,3
"40","Samosir",1878,56,13,24,1146,636,2,NA
"41","Serdang Bedagai",2051,140,11,33,886,972,NA,9
"42","Batu Bara",1434,120,NA,48,568,689,NA,10
"43","Padang Lawas Utara",2058,136,3,2,958,938,3,17
"44","Padang Lawas",1971,167,NA,17,893,888,1,4
"45","Labuhan Batu Selatan",2408,119,2,3,1143,1132,9,0
"46","Labuhan Batu Utara",1944,207,7,88,755,882,3,2
"47","Nias Utara",574,7,5,14,456,90,1,0
"48","Nias Barat",802,7,NA,98,555,142,NA,NA
"49","Kota Sibolga",1206,34,17,53,455,637,3,8
"50","Kota Tanjung Balai",1305,148,3,113,416,621,NA,5
"51","Kota Pematang Siantar",1955,57,7,150,906,805,1,29
"52","Kota Tebing Tinggi",1918,138,6,56,818,888,11,1
"53","Kota Medan",2136,106,5,65,881,1057,6,16
"54","Kota Binjai",2250,160,15,53,937,1063,13,9
"55","Kota Padangsidimpuan",2462,99,NA,29,1128,1145,6,55
"56","Kota Gunungsitoli",1096,45,2,3,741,303,2,NA
"57","Kepulauan Mentawai",1347,48,NA,24,671,604,NA,NA
"58","Pesisir Selatan",1594,43,2,24,892,628,5,NA
"59","Solok",2496,29,3,105,1533,822,5,NA
"60","Sijunjung",2014,67,NA,23,1149,777,NA,NA
"61","Tanah Datar",1870,37,4,58,1031,732,6,1
"62","Padang Pariaman",1760,31,3,34,1085,602,2,3
"63","Agam",1936,58,NA,43,1220,614,1,NA
"64","Lima Puluh Kota",1556,45,NA,18,900,578,1,13
"65","Pasaman",1772,74,NA,142,913,639,5,1
"66","Solok Selatan",2553,66,18,44,1488,920,8,9
"67","Dharmasraya",2602,120,8,30,1410,1035,NA,NA
"68","Pasaman Barat",1744,72,NA,5,926,736,5,NA
"69","Kota Padang",2283,54,0,51,1474,697,3,5
"70","Kota Solok",2150,70,NA,18,1303,754,5,NA
"71","Kota Sawah Lunto",2746,71,11,15,1446,1180,11,11
"72","Kota Padang Panjang",2219,109,5,40,1230,818,7,10
"73","Kota Bukittinggi",1951,48,NA,47,1144,704,NA,8
"74","Kota Payakumbuh",1853,68,2,12,1015,754,0,1
"75","Kota Pariaman",1821,48,NA,44,1115,610,1,4
"76","Kuantan Singingi",2188,98,NA,34,1114,940,3,NA
"77","Indragiri Hulu",2538,110,3,64,1205,1150,5,NA
"78","Indragiri Hilir",2143,90,NA,85,955,1005,5,4
"79","Pelalawan",2662,134,6,85,1264,1154,20,NA
"80","Siak",2721,135,47,72,1237,1215,9,5
"81","Kampar",2428,152,11,21,1165,1076,2,NA
"82","Rokan Hulu",2451,131,NA,30,1173,1112,5,NA
"83","Bengkalis",2318,193,NA,22,1134,967,NA,2
"84","Rokan Hilir",2436,188,2,17,1142,1083,1,2
"85","Kepulauan Meranti",2168,124,NA,35,875,1115,14,5
"86","Kota Pekanbaru",2269,66,NA,37,1199,966,NA,NA
"87","Kota Dumai",2328,117,2,37,1006,1163,NA,3
"88","Kerinci",2071,73,NA,64,1111,818,4,NA
"89","Merangin",1883,45,1,29,968,840,1,NA
"90","Sarolangun",2118,18,NA,35,1051,1005,9,NA
"91","Batang Hari",2375,137,14,58,1154,1003,7,2
"92","Muaro Jambi",2858,229,4,16,1328,1260,15,5
"93","Tanjung Jabung Timur",2895,152,NA,61,1212,1464,5,1
"94","Tanjung Jabung Barat",2460,171,5,17,1142,1122,4,NA
"95","Tebo",2225,40,NA,27,1097,1055,4,2
"96","Bungo",2131,111,2,35,1019,965,NA,NA
"97","Kota Jambi",3039,129,14,142,1488,1245,12,10
"98","Kota Sungai Penuh",2005,42,8,56,1091,794,11,2
"99","Ogan Komering Ulu",2279,59,NA,103,895,1188,31,3
"100","Ogan Komering Ilir",2642,91,26,71,1036,1381,35,2
"101","Muara Enim",2298,45,10,66,1030,1116,30,NA
"102","Lahat",2022,53,14,32,928,975,11,9
"103","Musi Rawas",2478,64,8,20,1016,1364,5,NA
"104","Musi Banyuasin",3001,135,NA,51,1275,1524,13,3
"105","Banyu Asin",3032,72,4,17,1408,1491,40,NA
"106","Ogan Komering Ulu Selatan",2064,23,NA,6,878,1140,17,NA
"107","Ogan Komering Ulu Timur",3203,136,2,89,1185,1775,5,11
"108","Ogan Ilir",1830,28,NA,49,926,797,24,7
"109","Empat Lawang",1996,64,NA,65,836,949,5,77
"110","Penukal Abab Lematang Ilir",1722,31,NA,29,748,909,6,NA
"111","Musi Rawas Utara",1878,67,NA,26,836,937,11,NA
"112","Kota Palembang",2541,51,21,63,1278,1064,35,29
"113","Kota Prabumulih",1829,27,NA,3,868,915,11,5
"114","Kota Pagar Alam",2195,68,3,16,1127,978,NA,3
"115","Kota Lubuklinggau",2037,80,4,138,813,978,7,17
"116","Bengkulu Selatan",2029,35,NA,14,875,1100,4,NA
"117","Rejang Lebong",2598,79,9,28,1175,1302,NA,5
"118","Bengkulu Utara",2799,119,NA,51,1315,1314,1,NA
"119","Kaur",1974,81,7,29,765,1079,13,NA
"120","Seluma",2074,40,NA,42,851,1136,4,0
"121","Mukomuko",2281,84,2,15,1080,1084,17,NA
"122","Lebong",2204,114,4,114,884,1080,5,4
"123","Kepahiang",2152,70,9,58,918,1079,12,5
"124","Bengkulu Tengah",2050,21,NA,12,937,1064,7,9
"125","Kota Bengkulu",2188,39,20,54,924,1146,1,3
"126","Lampung Barat",2994,135,17,30,1232,1487,94,NA
"127","Tanggamus",2705,58,0,77,914,1594,61,0
"128","Lampung Selatan",3898,93,4,110,1419,2161,108,3
"129","Lampung Timur",3063,146,4,41,1171,1639,61,1
"130","Lampung Tengah",3523,151,2,42,1350,1891,85,2
"131","Lampung Utara",3125,59,2,68,1333,1595,59,9
"132","Way Kanan",2970,66,5,96,1184,1578,40,1
"133","Tulangbawang",2396,52,NA,57,945,1302,38,2
"134","Pesawaran",3120,141,5,45,1050,1716,161,NA
"135","Pringsewu",3486,103,2,94,1049,2158,82,NA
"136","Mesuji",3167,48,NA,10,1201,1865,39,3
"137","Tulang Bawang Barat",2391,17,2,25,857,1430,60,NA
"138","Pesisir Barat",2748,123,8,71,1106,1385,55,NA
"139","Kota Bandar Lampung",4304,75,9,69,1920,2126,99,7
"140","Kota Metro",3337,99,NA,35,1281,1828,89,6
"141","Bangka",2564,102,NA,47,1211,1202,2,NA
"142","Belitung",2436,91,1,57,1147,1137,NA,3
"143","Bangka Barat",2432,17,2,33,1191,1189,NA,NA
"144","Bangka Tengah",2327,99,4,62,1104,1058,NA,NA
"145","Bangka Selatan",1665,60,NA,3,642,942,18,NA
"146","Belitung Timur",2584,113,8,51,1212,1122,8,70
"147","Kota Pangkal Pinang",2618,29,1,37,1285,1261,4,0
"148","Karimun",2825,173,10,52,1296,1285,4,6
"149","Bintan",2881,170,NA,27,1395,1283,3,4
"150","Natuna",2227,27,2,44,994,1159,2,NA
"151","Lingga",1780,33,NA,34,902,808,NA,3
"152","Kepulauan Anambas",1341,25,NA,8,553,738,17,NA
"153","Kota Batam",3005,169,14,88,1427,1298,7,3
"154","Kota Tanjung Pinang",2882,138,3,68,1477,1182,13,2
"155","Kep. Seribu",2539,33,12,7,1145,1233,108,NA
"156","Kota Jakarta Selatan",4339,147,4,222,1880,1991,86,9
"157","Kota Jakarta Timur",3354,115,2,77,1547,1505,103,6
"158","Kota Jakarta Pusat",3467,104,12,39,1557,1632,123,NA
"159","Kota Jakarta Barat",3465,151,12,68,1524,1598,93,19
"160","Kota Jakarta Utara",3228,165,12,68,1468,1428,79,7
"161","Bogor",2771,91,3,49,1210,1266,151,2
"162","Sukabumi",2582,58,13,83,1263,1020,145,NA
"163","Cianjur",2619,36,10,54,1376,1082,61,NA
"164","Bandung",3321,78,7,130,1898,1188,20,NA
"165","Garut",3126,63,3,128,1700,1200,30,3
"166","Tasikmalaya",2556,72,28,45,1244,1132,34,NA
"167","Ciamis",3463,155,3,83,1693,1488,41,NA
"168","Kuningan",4792,183,49,126,2047,2199,169,18
"169","Cirebon",3178,84,12,25,1457,1486,104,11
"170","Majalengka",3247,109,6,57,1473,1356,241,5
"171","Sumedang",3235,84,3,114,1719,1160,152,2
"172","Indramayu",4056,448,12,12,1513,1897,175,NA
"173","Subang",2968,46,NA,26,1387,1400,108,NA
"174","Purwakarta",3325,63,7,60,1683,1402,100,11
"175","Karawang",2829,42,24,15,1233,1342,169,3
"176","Bekasi",3655,108,38,48,1570,1662,227,3
"177","Bandung Barat",2540,21,4,67,1478,962,6,2
"178","Pangandaran",2976,163,4,77,1300,1399,32,NA
"179","Kota Bogor",3800,109,1,56,1738,1751,140,4
"180","Kota Sukabumi",3033,71,47,96,1696,1019,104,NA
"181","Kota Bandung",4635,63,18,292,2628,1603,24,7
"182","Kota Cirebon",3232,81,3,53,1505,1505,65,20
"183","Kota Bekasi",4577,191,28,100,2033,2099,111,14
"184","Kota Depok",4642,204,12,99,2061,2149,109,9
"185","Kota Cimahi",3994,55,12,196,2394,1301,26,10
"186","Kota Tasikmalaya",2594,73,6,147,1259,1069,40,1
"187","Kota Banjar",2605,78,3,114,1184,1211,16,NA
"188","Cilacap",2714,71,5,13,1125,1490,4,6
"189","Banyumas",2933,104,34,32,1383,1329,14,36
"190","Purbalingga",3347,124,11,27,1427,1742,7,9
"191","Banjarnegara",3731,111,10,57,1687,1841,12,12
"192","Kebumen",3838,119,26,26,1499,2153,7,8
"193","Purworejo",3297,73,12,36,1518,1646,6,6
"194","Wonosobo",3395,51,4,79,1662,1579,5,14
"195","Magelang",3735,63,NA,56,1833,1766,10,7
"196","Boyolali",4090,137,1,33,2013,1886,14,7
"197","Klaten",3370,55,9,62,1658,1572,10,4
"198","Sukoharjo",3537,170,5,97,1601,1622,34,8
"199","Wonogiri",4513,132,9,23,2075,2259,7,8
"200","Karanganyar",4030,64,13,61,1777,2100,15,1
"201","Sragen",3785,42,9,36,1963,1707,17,11
"202","Grobogan",3202,41,11,1,1499,1634,14,1
"203","Blora",3306,169,13,13,1174,1917,9,10
"204","Rembang",3239,69,7,7,1054,2091,9,3
"205","Pati",2439,68,5,13,824,1525,4,NA
"206","Kudus",3278,52,1,25,1678,1522,0,1
"207","Jepara",2951,43,7,62,1381,1452,5,1
"208","Demak",3349,58,5,17,1545,1723,0,1
"209","Semarang",4424,52,NA,14,2184,2147,7,19
"210","Temanggung",2849,35,1,63,1479,1257,1,14
"211","Kendal",3473,57,0,56,1623,1725,5,7
"212","Batang",3303,9,1,17,1512,1760,4,1
"213","Pekalongan",3073,91,4,30,1218,1697,13,21
"214","Pemalang",3804,33,4,29,1583,2104,41,11
"215","Tegal",4039,37,11,41,1687,2212,34,17
"216","Brebes",2974,26,6,42,1241,1623,34,3
"217","Kota Magelang",3888,107,NA,193,1744,1836,0,8
"218","Kota Surakarta",3632,100,24,86,1632,1754,1,35
"219","Kota Salatiga",4329,52,2,77,2074,2083,3,38
"220","Kota Semarang",4352,51,36,48,1950,2237,7,25
"221","Kota Pekalongan",2713,19,6,16,1132,1525,5,10
"222","Kota Tegal",3219,31,1,51,1386,1710,19,21
"223","Kulon Progo",2917,50,3,33,1252,1575,1,2
"224","Bantul",3581,110,4,29,1444,1982,2,10
"225","Gunung Kidul",3992,197,59,98,1771,1854,9,4
"226","Sleman",3397,81,0,66,1405,1828,6,13
