"","kabupaten_kota","makanan_dan_minuman_jadi","roti_tawar","roti_manis_roti_lainnya","kue_kering_biskuit_semprong","kue_basah_kue_lapis_bika_ambon_lemper_dsb","makanan_gorengan","bubur_kacang_hijau","gado_gado_ketoprak_pecel","nasi_campur_rames","nasi_goreng","nasi_putih","lontong_ketupat_sayur","soto_gule_sop_rawon_cincang","sayur_matang_ditumis_disantan_dsb","sate_tongseng","mie_bakso_mie_rebus_mie_goreng","mie_instan","makanan_ringan_anak_anak_krupuk_kripik","ikan_matang","ayam_daging_matang_ayam_goreng_rendang_dsb","daging_olahan_sosis_nugget_daging_asap_dsb_matang","bubur_ayam","siomay_batagor","makanan_jadi_lainnya","air_kemasan","air_kemasan_galon","air_teh_kemasan_minuman_bersoda_mengandung_co2","sari_buah_kemasan_minuman_kesehatan_minuman_berenergi","minuman_jadi_kopi_kopi_susu_teh_susu_coklat_dsb","es_krim","es_lainnya","minuman_keras"
"1","Simeulue",23744,46,348,411,3903,1877,154,54,1277,693,186,2593,203,230,245,2226,495,835,546,229,11,15,164,94,137,1587,78,313,4114,396,286,NA
"2","Aceh Singkil",26997,1077,1093,566,1309,2966,558,611,632,2166,703,922,357,558,579,2820,636,2208,770,487,286,54,270,201,254,1134,118,145,2253,876,356,31
"3","Aceh Selatan",38327,166,1021,710,3243,2531,329,256,8938,991,1261,763,176,406,451,3936,711,2776,961,560,28,11,449,98,237,476,329,425,4892,862,335,0
"4","Aceh Tenggara",28338,254,761,514,1710,2488,363,443,1234,1525,142,2765,227,361,753,2912,443,1207,156,322,630,110,1478,172,466,546,312,613,3634,822,414,559
"5","Aceh Timur",39395,330,790,549,2644,2625,929,227,4189,2833,217,2418,137,181,444,5359,396,1628,198,233,385,171,1062,269,645,748,506,366,7494,1166,258,NA
"6","Aceh Tengah",48300,546,1892,2137,2858,3407,441,622,6242,1894,420,2301,292,296,755,6455,535,3328,506,897,988,178,2681,534,366,881,158,814,4551,1043,281,NA
"7","Aceh Barat",67356,380,1667,850,3996,3559,858,494,12556,4494,820,2162,415,512,973,8064,886,5075,778,1050,137,132,679,1433,634,1703,806,880,7934,1370,2056,NA
"8","Aceh Besar",51446,586,1666,1150,4876,2675,645,347,1691,3406,2181,2031,183,843,718,4899,1144,2282,1633,856,387,294,1982,214,369,1913,692,1017,9363,1167,235,NA
"9","Pidie",53479,435,1365,1479,4955,4343,852,445,4241,4067,285,2044,46,160,1085,7993,879,2610,183,117,400,34,1496,229,436,1016,770,1747,7788,1314,667,NA
"10","Bireuen",56157,185,1261,1575,5058,3410,492,398,6413,2947,619,1905,156,388,704,6471,893,3447,621,865,609,118,2236,949,1015,785,371,997,8952,1399,916,NA
"11","Aceh Utara",32540,273,778,568,2974,2106,610,242,509,2031,834,1541,101,250,232,4703,507,1527,157,184,223,73,2038,157,161,464,264,713,7052,915,354,NA
"12","Aceh Barat Daya",34579,192,767,932,2584,2276,158,209,10221,1140,281,518,171,245,334,4584,418,1185,249,201,177,26,389,182,817,722,413,230,3857,863,238,NA
"13","Gayo Lues",55610,586,1479,1290,2186,4008,928,531,13557,1079,335,6466,176,478,1965,4117,931,4033,252,739,780,58,955,593,234,672,390,411,4636,1456,287,NA
"14","Aceh Tamiang",32408,206,1068,849,1171,2102,232,166,3853,1256,222,3105,278,1243,660,3245,144,1586,1004,1051,924,43,1637,359,229,1396,245,206,2629,815,483,NA
"15","Nagan Raya",58733,473,939,845,3020,3178,1061,619,19016,2823,470,977,158,184,861,7051,1198,2594,110,140,175,59,1018,315,268,955,547,471,6494,1532,1183,NA
"16","Aceh Jaya",57598,314,1507,1830,4935,3645,778,267,6184,3749,926,1281,269,874,582,6664,1835,3234,1198,481,212,3,1245,377,865,904,934,689,9361,1486,970,NA
"17","Bener Meriah",44421,266,1109,1356,4084,4234,301,777,8969,939,805,1434,55,487,318,5434,363,3719,314,148,841,47,1834,79,200,266,186,340,4572,856,88,NA
"18","Pidie Jaya",54615,760,1449,1458,5323,3556,735,729,2956,4107,776,2224,68,85,606,7610,971,2212,237,311,164,65,2189,1463,601,920,855,810,9473,1644,258,NA
"19","Kota Banda Aceh",104906,879,2290,1499,5459,2309,440,726,19184,6117,1004,4719,1051,1186,2128,8264,554,2841,3281,3737,349,866,2489,4524,2457,4210,1682,1380,13975,1318,3986,NA
"20","Kota Sabang",69934,338,1163,1878,6490,3279,583,658,10050,3529,500,3278,421,1552,696,6336,496,4090,2023,1048,697,548,2502,880,1208,2430,595,1260,9138,1076,1192,NA
"21","Kota Langsa",57622,412,999,1181,2047,2215,614,655,8924,2862,600,3430,454,1816,1794,5462,342,3010,2251,1924,1420,368,1220,620,467,2626,572,981,5693,1220,1442,NA
"22","Kota Lhokseumawe",62012,737,1597,1121,3688,3247,847,884,6821,4121,482,3352,715,1143,1356,6411,715,2285,1167,1598,642,479,2610,1308,434,2745,422,731,7488,1119,1747,NA
"23","Kota Subulussalam",27540,392,1014,474,1201,2467,397,326,2427,1186,300,2247,320,143,878,3638,305,2481,152,483,536,14,463,275,109,534,229,234,2654,1036,624,NA
"24","Nias",9643,76,181,168,1315,931,219,23,101,327,80,88,22,152,1,1698,661,584,89,142,8,18,7,91,295,172,135,127,1319,207,96,313
"25","Mandailing Natal",32163,465,1694,743,1035,3206,405,1237,1986,1081,147,2849,859,304,1769,2262,493,2893,271,378,624,34,383,170,178,352,280,475,4508,675,406,3
"26","Tapanuli Selatan",29895,324,1453,872,1140,2733,778,999,933,922,862,2412,915,450,919,1723,568,2080,281,738,460,83,330,420,117,199,66,258,5410,712,404,335
"27","Tapanuli Tengah",30018,275,1122,831,1295,2233,205,725,2632,814,1656,2224,609,747,512,2585,203,2339,1386,1421,258,24,198,485,168,403,278,354,2796,461,379,399
"28","Tapanuli Utara",26370,285,911,794,696,1344,145,363,8637,593,156,830,90,120,525,1742,51,1730,161,393,60,18,66,1272,165,90,52,78,2548,272,67,2120
"29","Toba Samosir",37673,401,1394,1297,818,2152,432,422,3838,842,1255,607,495,675,621,5555,263,2030,1422,1647,357,112,236,830,272,342,154,514,4132,710,78,3769
"30","Labuhan Batu",30876,302,879,1206,976,1891,311,375,3746,1808,292,1794,376,528,441,4049,327,1776,606,451,415,77,773,737,232,1482,181,404,2554,667,1019,205
"31","Asahan",33239,393,1079,948,1024,2249,330,468,6198,1283,356,1673,615,885,438,4028,298,2395,640,921,626,113,323,1055,102,1292,234,228,1164,675,1117,91
"32","Simalungun",32320,307,1568,907,1143,2089,351,508,3895,755,573,1827,348,605,273,4299,201,1989,789,922,732,72,383,634,187,199,269,338,3753,758,525,1119
"33","Dairi",26088,484,983,839,808,1636,250,287,5017,522,126,488,303,118,615,3381,131,1710,223,294,45,37,178,1300,59,59,111,299,2739,421,225,2399
"34","Karo",60451,863,2491,1392,1779,2938,741,579,7319,1815,580,2755,624,829,471,5845,460,2501,1029,1421,709,155,1332,478,683,365,784,1615,16341,963,201,392
"35","Deli Serdang",36587,336,1774,1163,1077,1828,655,595,4024,1637,460,2903,460,1147,712,3626,138,1776,511,1580,798,186,556,701,170,2325,337,305,2953,782,1025,47
"36","Langkat",34770,129,1357,889,803,1734,339,523,6587,1093,449,2018,264,1241,602,3287,198,2040,470,1056,1081,133,1396,634,239,1245,340,416,2376,755,1061,16
"37","Nias Selatan",10127,317,495,448,1959,731,127,5,71,446,149,261,22,24,23,1559,466,428,64,155,9,4,29,206,68,378,161,66,735,261,82,377
"38","Humbang Hasundutan",19044,304,933,1186,452,1192,268,384,1685,490,207,429,128,9,278,2099,143,1689,315,166,13,22,25,842,124,41,99,73,3252,334,99,1762
"39","Pakpak Bharat",26679,297,1103,1217,413,2075,70,158,5965,362,16,340,94,75,883,3366,242,2904,317,179,14,15,286,552,291,63,132,318,2766,517,273,1376
"40","Samosir",30615,291,1249,1192,553,1514,241,208,2868,560,306,351,132,83,454,3862,265,1583,585,1016,113,58,25,1082,235,560,88,101,5814,469,203,4553
"41","Serdang Bedagai",33044,412,1592,915,812,1921,239,397,3637,1033,485,2968,224,1063,742,4062,127,2457,644,1491,1021,62,390,783,178,998,156,265,1910,654,1155,252
"42","Batu Bara",31979,169,1307,903,710,1745,158,588,5397,1333,33,3028,318,852,541,2918,232,2284,669,705,1025,111,307,1299,114,936,360,352,1830,737,684,331
"43","Padang Lawas Utara",33468,149,911,1169,1200,3452,139,916,5257,800,384,1352,404,51,1138,3131,560,2579,56,46,209,20,122,481,274,647,262,289,5699,601,1024,145
"44","Padang Lawas",37412,398,1427,949,1118,4723,307,2123,1484,1258,213,2610,354,197,2091,3201,680,3299,94,258,581,30,520,366,266,625,235,345,5966,401,1262,33
"45","Labuhan Batu Selatan",34215,661,1012,586,1102,2886,192,504,1122,1465,1239,2338,263,1175,501,4896,408,1919,492,1615,1289,7,421,360,237,1476,200,300,2916,753,1772,109
"46","Labuhan Batu Utara",32423,183,1177,994,1225,2541,226,406,5871,902,139,1430,420,245,385,4242,340,2217,270,391,1007,30,262,617,337,1291,239,535,2455,759,784,504
"47","Nias Utara",10093,195,363,318,1811,781,48,3,79,277,169,216,39,47,53,897,530,867,70,266,9,24,NA,66,157,955,346,258,671,191,81,308
"48","Nias Barat",8647,172,323,399,703,940,179,2,28,287,192,75,24,31,26,1008,504,666,102,297,2,19,NA,226,83,84,184,255,1504,222,59,50
"49","Kota Sibolga",58227,253,1765,836,1216,2327,479,481,19695,2260,232,5878,449,699,2181,5878,167,1642,2364,848,749,166,564,360,230,573,307,409,3857,730,445,186
