"","kabupaten_kota","minyak_dan_kelapa","minyak_kelapa","minyak_goreng_kelapa_sawit_bunga_matahari","kelapa_tidak_termasuk_santan_instan","minyak_dan_kelapa_lainnya"
"1","Simeulue",3304,410,1849,1045,NA
"2","Aceh Singkil",4688,221,3288,1163,15
"3","Aceh Selatan",4628,84,3116,1428,NA
"4","Aceh Tenggara",5178,180,3447,1420,131
"5","Aceh Timur",4087,168,2951,960,9
"6","Aceh Tengah",3932,228,3455,228,22
"7","Aceh Barat",4773,505,3065,1203,NA
"8","Aceh Besar",3721,245,2553,837,85
"9","Pidie",3677,237,2746,691,2
"10","Bireuen",3528,259,2472,788,10
"11","Aceh Utara",2729,274,1956,492,8
"12","Aceh Barat Daya",3915,277,2579,1049,10
"13","Gayo Lues",5198,98,3722,1351,27
"14","Aceh Tamiang",3746,265,2852,629,NA
"15","Nagan Raya",5014,409,3274,1298,33
"16","Aceh Jaya",4120,129,2948,1042,2
"17","Bener Meriah",4201,694,2958,422,127
"18","Pidie Jaya",4005,163,3156,642,44
"19","Kota Banda Aceh",3928,262,3140,456,70
"20","Kota Sabang",3642,198,3005,343,97
"21","Kota Langsa",3875,76,3024,707,68
"22","Kota Lhokseumawe",3581,27,2870,645,39
"23","Kota Subulussalam",4613,112,3116,1384,NA
"24","Nias",3586,207,2290,1004,85
"25","Mandailing Natal",5389,104,2807,2456,22
"26","Tapanuli Selatan",5155,280,2934,1726,215
"27","Tapanuli Tengah",4445,72,2795,1577,1
"28","Tapanuli Utara",4368,171,3426,767,4
"29","Toba Samosir",3995,263,3239,460,33
"30","Labuhan Batu",4112,450,2959,674,28
"31","Asahan",4787,214,3456,1114,3
"32","Simalungun",4718,59,3628,966,65
"33","Dairi",4023,468,2771,781,3
"34","Karo",6058,590,4046,1422,NA
"35","Deli Serdang",4603,119,3483,929,71
"36","Langkat",4873,327,3290,1248,8
"37","Nias Selatan",3862,146,2589,1127,1
"38","Humbang Hasundutan",4472,87,3205,1046,134
"39","Pakpak Bharat",4336,25,3417,888,6
"40","Samosir",4019,25,3392,471,130
"41","Serdang Bedagai",4942,5,3886,1020,31
"42","Batu Bara",4693,92,3538,1026,38
"43","Padang Lawas Utara",4522,288,3057,1174,2
"44","Padang Lawas",5099,58,3043,1998,NA
"45","Labuhan Batu Selatan",4635,97,3514,1000,24
"46","Labuhan Batu Utara",4586,87,3257,1230,12
"47","Nias Utara",3654,101,1853,1672,28
"48","Nias Barat",3239,178,2201,861,NA
"49","Kota Sibolga",3438,5,2732,696,5
"50","Kota Tanjung Balai",3920,184,2889,831,15
"51","Kota Pematang Siantar",4027,216,3183,517,111
"52","Kota Tebing Tinggi",3885,369,2762,505,249
"53","Kota Medan",4367,310,3318,697,42
"54","Kota Binjai",4604,202,3595,794,13
"55","Kota Padangsidimpuan",4277,68,3185,817,207
"56","Kota Gunungsitoli",4230,196,2638,1259,137
"57","Kepulauan Mentawai",5230,1057,2790,1380,3
"58","Pesisir Selatan",5550,303,3145,2100,2
"59","Solok",6010,341,4072,1532,65
"60","Sijunjung",5653,46,4040,1541,27
"61","Tanah Datar",5114,155,3777,1137,45
"62","Padang Pariaman",5125,236,3264,1551,74
"63","Agam",5472,308,3548,1413,203
"64","Lima Puluh Kota",5347,121,3660,1535,31
"65","Pasaman",5769,51,3089,2621,7
"66","Solok Selatan",6407,341,4410,1620,36
"67","Dharmasraya",5562,15,4328,885,335
"68","Pasaman Barat",6107,126,2898,2960,123
"69","Kota Padang",4865,384,3436,513,532
"70","Kota Solok",4862,318,3586,890,68
"71","Kota Sawah Lunto",5332,181,4039,911,201
"72","Kota Padang Panjang",4354,6,3785,466,97
"73","Kota Bukittinggi",5030,285,3514,1017,214
"74","Kota Payakumbuh",4571,88,3358,1081,43
"75","Kota Pariaman",4578,96,3290,1062,130
"76","Kuantan Singingi",6373,207,4388,1745,33
"77","Indragiri Hulu",4699,141,3971,520,67
"78","Indragiri Hilir",4567,257,3891,304,115
"79","Pelalawan",5760,142,4378,1164,77
"80","Siak",5436,156,4395,699,186
"81","Kampar",5473,308,4170,894,100
"82","Rokan Hulu",5731,55,4215,1434,27
"83","Bengkalis",5328,60,4077,1189,2
"84","Rokan Hilir",5223,268,3764,1179,13
"85","Kepulauan Meranti",4812,282,3622,884,24
"86","Kota Pekanbaru",5325,194,4232,578,322
"87","Kota Dumai",5437,213,4068,978,177
"88","Kerinci",5881,552,4482,634,214
"89","Merangin",3901,181,3356,333,32
"90","Sarolangun",4374,342,3482,528,21
"91","Batang Hari",4043,242,3262,515,24
"92","Muaro Jambi",4348,458,3391,480,19
"93","Tanjung Jabung Timur",4676,223,3972,434,47
"94","Tanjung Jabung Barat",3815,194,3194,395,32
"95","Tebo",4694,62,3739,886,7
"96","Bungo",4615,43,3815,740,18
"97","Kota Jambi",4544,326,3408,317,492
"98","Kota Sungai Penuh",5811,151,4760,866,34
"99","Ogan Komering Ulu",2944,75,2632,210,27
"100","Ogan Komering Ilir",4007,8,3594,373,32
"101","Muara Enim",2928,276,2532,101,20
"102","Lahat",2938,140,2490,157,151
"103","Musi Rawas",3539,163,3004,368,5
"104","Musi Banyuasin",3994,86,3627,266,15
"105","Banyu Asin",3722,370,3154,190,8
"106","Ogan Komering Ulu Selatan",3428,219,3104,98,6
"107","Ogan Komering Ulu Timur",3905,258,3027,615,4
"108","Ogan Ilir",2884,47,2742,94,NA
"109","Empat Lawang",3131,87,2561,374,109
"110","Penukal Abab Lematang Ilir",2571,285,2217,69,NA
"111","Musi Rawas Utara",3387,80,3010,271,26
"112","Kota Palembang",2808,227,2329,176,76
"113","Kota Prabumulih",2361,3,2252,86,20
"114","Kota Pagar Alam",2677,120,2475,51,31
"115","Kota Lubuklinggau",3187,NA,2826,231,130
"116","Bengkulu Selatan",4658,20,2753,1854,32
"117","Rejang Lebong",3406,153,2832,320,101
"118","Bengkulu Utara",4464,332,3178,913,42
"119","Kaur",4767,185,2447,2117,18
"120","Seluma",4196,163,2542,1485,6
"121","Mukomuko",4321,60,3236,948,78
"122","Lebong",3879,100,3251,510,17
"123","Kepahiang",4177,74,3554,484,65
"124","Bengkulu Tengah",4234,126,3222,885,2
"125","Kota Bengkulu",4122,12,3353,397,360
"126","Lampung Barat",4320,333,3695,287,5
"127","Tanggamus",3622,NA,3183,431,8
"128","Lampung Selatan",4445,34,3930,469,11
"129","Lampung Timur",3963,195,3111,641,17
"130","Lampung Tengah",4428,97,3502,798,30
"131","Lampung Utara",3978,118,3498,345,17
"132","Way Kanan",4202,NA,3685,491,25
"133","Tulangbawang",3333,NA,2912,406,15
