"","kabupaten_kota","padi_padian","beras_beras_lokal_kualitas_unggul_impor","beras_ketan","jagung_basah_dengan_kulit","jagung_pipilan_beras_jagung_jagung_titil","tepung_terigu","padi_padian_lainnya"
"1","Aceh Selatan",21074,20528,181,214,5,138,8
"2","Aceh Tenggara",21823,21642,71,67,NA,43,NA
"3","Aceh Timur",16764,16469,66,11,NA,217,NA
"4","Aceh Tengah",18809,18385,50,98,11,266,NA
"5","Aceh Barat",20506,19443,400,466,11,171,16
"6","Aceh Besar",16272,15709,122,239,5,178,20
"7","Pidie",21181,20795,203,81,4,90,9
"8","Bireuen",16143,15518,160,344,20,81,20
"9","Aceh Utara",15595,15357,77,39,4,118,NA
"10","Aceh Barat Daya",19387,18753,149,302,14,167,3
"11","Gayo Lues",26973,24569,1739,196,10,254,205
"12","Aceh Tamiang",17564,17268,100,33,1,155,6
"13","Nagan Raya",19907,18978,272,226,NA,425,6
"14","Aceh Jaya",20292,19599,293,276,2,99,23
"15","Bener Meriah",18022,17590,64,104,44,220,1
"16","Pidie Jaya",18891,18327,149,182,10,202,19
"17","Kota Banda Aceh",13758,13184,29,361,16,145,23
"18","Kota Sabang",16202,15527,79,358,7,216,16
"19","Kota Langsa",14008,13507,65,136,8,178,113
"20","Kota Lhokseumawe",14740,14187,152,202,5,171,24
"21","Kota Subulussalam",17904,17582,16,114,27,148,16
"22","Nias",26087,25925,56,32,2,72,NA
"23","Mandailing Natal",21246,21078,10,31,15,109,2
"24","Tapanuli Selatan",21521,21336,14,24,1,136,9
"25","Tapanuli Tengah",19522,19332,73,32,1,74,11
"26","Tapanuli Utara",21466,21163,69,73,6,155,NA
"27","Toba Samosir",21572,21316,41,135,NA,80,NA
"28","Labuhan Batu",17468,17160,61,57,1,184,5
"29","Asahan",16666,16080,69,112,66,305,34
"30","Simalungun",18483,18093,11,145,25,202,7
"31","Dairi",23370,23235,34,19,NA,84,NA
"32","Karo",26289,26041,16,124,3,104,NA
"33","Deli Serdang",16156,15695,73,182,10,189,7
"34","Langkat",17375,16807,89,138,87,245,8
"35","Nias Selatan",27478,27196,88,12,25,126,32
"36","Humbang Hasundutan",23447,23110,74,43,2,213,5
"37","Pakpak Bharat",22959,22650,89,27,4,189,NA
"38","Samosir",23089,22919,14,38,NA,118,NA
"39","Serdang Bedagai",16938,16548,28,62,40,259,1
"40","Batu Bara",16783,16368,97,113,16,178,12
"41","Padang Lawas Utara",26551,26306,95,9,NA,136,5
"42","Padang Lawas",23003,22786,19,98,NA,100,NA
"43","Labuhan Batu Selatan",20156,19721,12,89,57,276,1
"44","Labuhan Batu Utara",19366,18822,51,129,45,268,53
"45","Nias Utara",25926,25609,103,18,10,172,14
