"","kabupaten_kota","sayur_sayuran","bayam","kangkung","kol_kubis","sawi_putih_petsai","sawi_hijau","buncis","kacang_panjang","tomat_sayur_tomat_ceri","wortel","mentimun","daun_ketela_pohon_daun_singkong","terong","tauge","labu_labu_siam_labu_parang","bahan_sayur_sop_cap_cay_kimlo_paket","bahan_sayur_asam_lodeh_paket","nangka_muda","pepaya_muda","jengkol","bawang_putih","bawang_merah","cabe_merah","cabe_hijau","cabe_rawit","sayur_sayuran_lainnya"
"1","Aceh Timur",10708,589,423,174,18,39,59,303,681,235,161,131,146,213,49,61,320,25,44,578,1895,744,1656,874,1199,92
"2","Aceh Tengah",15495,453,571,219,93,289,362,261,599,239,160,369,440,204,710,20,53,29,14,70,2645,944,2998,1070,1750,933
"3","Aceh Barat",13522,801,735,141,50,296,81,575,221,403,205,513,417,226,139,51,NA,54,24,320,2220,729,2582,280,2071,389
"4","Aceh Besar",11799,831,744,215,50,198,136,290,1159,389,188,204,160,187,74,15,17,81,99,9,1829,700,2250,675,1078,224
"5","Pidie",11580,695,440,134,24,144,90,352,1250,254,270,73,169,224,111,144,363,49,33,24,2382,684,2130,690,711,140
"6","Bireuen",11554,558,490,145,49,112,19,262,101,286,274,139,190,218,103,310,472,54,108,162,2529,709,2424,665,914,261
"7","Aceh Utara",9131,551,328,151,18,59,58,278,353,163,89,117,160,228,74,170,436,29,30,224,1488,626,1703,709,1000,88
"8","Aceh Barat Daya",10202,472,403,107,29,194,48,309,214,179,145,179,383,166,88,18,22,61,33,102,1783,498,2804,124,1652,191
"9","Gayo Lues",13207,524,473,302,61,286,195,480,1564,223,104,191,594,128,257,1,3,197,66,270,2130,629,3000,234,965,328
"10","Aceh Tamiang",10431,458,543,176,95,181,87,361,82,191,113,340,230,124,79,35,106,30,18,285,1798,804,2169,657,1266,202
"11","Nagan Raya",15973,876,718,355,99,408,82,549,565,355,317,260,543,372,144,66,9,35,29,190,2664,1041,2718,293,2993,292
"12","Aceh Jaya",11457,635,477,188,77,197,36,452,117,220,270,359,436,169,155,10,6,103,54,94,2038,651,2378,404,1508,422
"13","Bener Meriah",13785,647,698,239,140,142,391,360,482,163,107,278,446,214,697,16,73,43,6,71,2053,808,2375,853,1294,1189
"14","Pidie Jaya",13351,901,644,241,11,196,23,502,1325,244,278,126,184,343,115,88,175,56,70,48,2538,808,2688,723,930,92
"15","Kota Banda Aceh",13676,730,631,258,111,336,111,215,695,679,341,176,220,235,89,214,103,7,17,69,2320,788,2947,686,1039,661
