"","kabupaten_kota","umbi_umbian","ketala_pohon_singkong","ketela_rambat_ubi_jalar","sagu_bukan_dari_ketela_pohon","talas_keladi","kentang","gaplek","umbi_umbian_lainnya"
"1","Simeulue",532,145,106,85,19,177,NA,NA
"2","Aceh Singkil",1649,348,262,40,25,950,14,10
"3","Aceh Selatan",999,168,147,34,44,598,5,3
"4","Aceh Tenggara",1202,119,166,11,15,865,21,5
"5","Aceh Timur",1068,241,99,NA,9,708,12,NA
"6","Aceh Tengah",1856,254,87,5,30,1459,22,NA
"7","Aceh Barat",1632,193,148,8,276,1007,NA,NA
"8","Aceh Besar",1209,100,71,5,3,1011,8,11
"9","Pidie",815,65,31,10,21,689,NA,NA
"10","Bireuen",910,133,65,15,10,679,3,5
"11","Aceh Utara",676,148,41,3,8,466,10,NA
"12","Aceh Barat Daya",849,112,91,38,127,477,4,NA
"13","Gayo Lues",2420,251,188,12,62,1900,1,5
"14","Aceh Tamiang",845,156,70,2,18,591,9,NA
"15","Nagan Raya",2089,313,317,16,127,1294,5,16
"16","Aceh Jaya",1542,168,162,15,100,1081,14,2
"17","Bener Meriah",1788,111,120,NA,27,1517,12,NA
"18","Pidie Jaya",1009,96,44,26,11,831,NA,1
"19","Kota Banda Aceh",1172,43,50,3,3,1071,NA,1
"20","Kota Sabang",1113,125,122,NA,NA,865,NA,NA
"21","Kota Langsa",832,136,95,1,11,586,4,NA
"22","Kota Lhokseumawe",1324,141,73,10,5,1095,NA,NA
"23","Kota Subulussalam",1148,298,130,41,15,665,NA,NA
"24","Nias",784,518,119,23,56,49,5,14
"25","Mandailing Natal",1475,89,46,NA,4,1334,2,NA
"26","Tapanuli Selatan",1753,267,56,1,52,1367,9,NA
"27","Tapanuli Tengah",1390,411,160,38,123,659,NA,NA
"28","Tapanuli Utara",1379,506,102,5,72,684,NA,9
"29","Toba Samosir",1392,571,142,6,34,637,3,NA
"30","Labuhan Batu",1020,291,53,NA,64,591,19,2
"31","Asahan",1489,309,158,3,87,911,15,6
"32","Simalungun",1512,368,169,1,131,833,11,NA
"33","Dairi",968,274,93,NA,40,553,2,6
"34","Karo",1614,174,81,6,31,1320,2,NA
"35","Deli Serdang",1560,256,152,1,64,1074,13,NA
"36","Langkat",1335,205,194,14,57,863,2,NA
"37","Nias Selatan",2504,1501,266,324,155,216,NA,41
"38","Humbang Hasundutan",1013,294,90,1,34,588,6,NA
"39","Pakpak Bharat",1023,277,91,NA,31,624,NA,NA
"40","Samosir",1572,681,202,NA,42,624,4,18
"41","Serdang Bedagai",1372,262,235,1,76,790,9,NA
"42","Batu Bara",1043,274,128,4,62,565,11,NA
"43","Padang Lawas Utara",1483,102,39,NA,59,1270,13,NA
"44","Padang Lawas",1553,111,157,NA,13,1271,NA,1
"45","Labuhan Batu Selatan",1564,273,91,NA,67,1131,2,NA
"46","Labuhan Batu Utara",1593,335,182,3,192,877,3,2
"47","Nias Utara",1645,1091,150,87,180,131,NA,5
"48","Nias Barat",1129,857,66,27,124,41,NA,15
"49","Kota Sibolga",582,94,48,2,25,414,NA,NA
"50","Kota Tanjung Balai",871,135,83,7,117,523,6,NA
"51","Kota Pematang Siantar",1669,283,186,NA,132,1065,NA,3
"52","Kota Tebing Tinggi",1451,201,206,2,111,904,26,1
"53","Kota Medan",1728,224,113,6,31,1344,4,5
"54","Kota Binjai",1476,170,110,3,82,1112,NA,NA
"55","Kota Padangsidimpuan",1327,65,108,NA,21,1127,6,NA
"56","Kota Gunungsitoli",1097,552,181,23,86,250,NA,4
"57","Kepulauan Mentawai",6762,953,378,2117,2907,405,NA,3
"58","Pesisir Selatan",1466,142,139,13,46,1120,4,NA
"59","Solok",2364,63,184,NA,65,2039,13,NA
"60","Sijunjung",1923,315,193,2,12,1401,NA,NA
"61","Tanah Datar",1636,98,153,4,36,1341,4,NA
"62","Padang Pariaman",1454,116,190,11,39,1091,2,6
"63","Agam",1731,94,186,2,16,1418,15,NA
"64","Lima Puluh Kota",1548,117,161,3,43,1223,NA,1
"65","Pasaman",1551,147,93,4,13,1283,10,1
"66","Solok Selatan",2632,195,115,3,103,2206,9,NA
"67","Dharmasraya",1894,371,243,4,27,1236,14,NA
